,Palo Alto,East Palo Alto,Redwood City,Belmont,San Mateo,Burlingame,Millbrae
Flow (at bend),861.9884999999999,1001.5178571428571,881.1846666666667,1278.948125,1034.0928260869566,845.15,853.1818181818181
Latency (at bend),1.326448252485291,2.2131265533438396,4.8921923748946385,1.1999111785887613,5.541006284392742,1.5031113452842335,2.384328451750197
Slope (after bend),0.0007826659300288878,0.000584484148171641,0.001563724032190834,0.0019941383648286863,0.002147261701957897,0.0003066013881685507,0.00032185645657358106
