Data Category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Station Type,main,off,main,on,main,off,on,main,on,main,on,main,off,main,off,on,main,on,main,on,main,on,main,off,on,main,on,main,off,main,on,main,on,main,on,main,off,main,off,on,main,off,on,main,off,main,on,main,off,on,main,on,main,on,main,off,main,on,main,off,main,off,main
Start Station,001___402376_Palo_Alto___main,004___425696_Palo_Alto___off,005___425697_Palo_Alto___main,006___425897_Palo_Alto___on,007___402380_Palo_Alto___main,010___403059_East_Palo_Alto___off,011___403060_East_Palo_Alto___on,012___400859_East_Palo_Alto___main,013___403061_East_Palo_Alto___on,014___404533_East_Palo_Alto___main,015___408267_East_Palo_Alto___on,016___400981_East_Palo_Alto___main,026___403205_Redwood_City___off,028___405679_Redwood_City___main,032___410094_Redwood_City___off,033___410095_Redwood_City___on,034___401834_Redwood_City___main,036___410093_Redwood_City___on,037___401929_Redwood_City___main,040___412787_Redwood_City___on,041___401832_Redwood_City___main,042___412788_Redwood_City___on,043___401869_Redwood_City___main,045___410111_Belmont___off,046___410110_Belmont___on,047___401910_Belmont___main,049___414212_Belmont___on,050___402383_San_Mateo___main,051___409888_San_Mateo___off,052___401914_San_Mateo___main,053___409676_San_Mateo___on,055___400661_San_Mateo___main,060___405852_San_Mateo___on,061___402385_San_Mateo___main,063___405828_San_Mateo___on,064___405827_San_Mateo___main,067___405847_San_Mateo___off,068___405848_San_Mateo___main,069___405845_San_Mateo___off,070___405849_San_Mateo___on,071___403261_San_Mateo___main,076___403287_San_Mateo___off,077___403288_San_Mateo___on,078___400527_San_Mateo___main,081___403086_San_Mateo___off,082___400420_San_Mateo___main,083___403087_San_Mateo___on,084___400797_Burlingame___main,085___422114_Burlingame___off,086___403295_Burlingame___on,087___400381_Burlingame___main,090___412782_Burlingame___on,092___401336_Millbrae___main,094___405863_Millbrae___on,095___401411_Millbrae___main,097___413207_Millbrae___off,100___413195_Millbrae___main,101___413212_Millbrae___on,102___400125_Millbrae___main,105___405837_Millbrae___off,106___400010_Millbrae___main,107___405836_Millbrae___off,111___400473_Millbrae___main
End Station,003___402379_Palo_Alto___main,004___425696_Palo_Alto___off,005___425697_Palo_Alto___main,006___425897_Palo_Alto___on,009___422116_East_Palo_Alto___main,010___403059_East_Palo_Alto___off,011___403060_East_Palo_Alto___on,012___400859_East_Palo_Alto___main,013___403061_East_Palo_Alto___on,014___404533_East_Palo_Alto___main,015___408267_East_Palo_Alto___on,025___401874_Redwood_City___main,027___403206_Redwood_City___off,031___404532_Redwood_City___main,032___410094_Redwood_City___off,033___410095_Redwood_City___on,035___401833_Redwood_City___main,036___410093_Redwood_City___on,039___401882_Redwood_City___main,040___412787_Redwood_City___on,041___401832_Redwood_City___main,042___412788_Redwood_City___on,044___401859_Belmont___main,045___410111_Belmont___off,046___410110_Belmont___on,048___401443_Belmont___main,049___414212_Belmont___on,050___402383_San_Mateo___main,051___409888_San_Mateo___off,052___401914_San_Mateo___main,054___410511_San_Mateo___on,059___405859_San_Mateo___main,060___405852_San_Mateo___on,062___402387_San_Mateo___main,063___405828_San_Mateo___on,066___428962_San_Mateo___main,067___405847_San_Mateo___off,068___405848_San_Mateo___main,069___405845_San_Mateo___off,070___405849_San_Mateo___on,075___400935_San_Mateo___main,076___403287_San_Mateo___off,077___403288_San_Mateo___on,080___400817_San_Mateo___main,081___403086_San_Mateo___off,082___400420_San_Mateo___main,083___403087_San_Mateo___on,084___400797_Burlingame___main,085___422114_Burlingame___off,086___403295_Burlingame___on,089___403258_Burlingame___main,091___412785_Burlingame___on,093___400119_Millbrae___main,094___405863_Millbrae___on,096___400975_Millbrae___main,099___413209_Millbrae___off,100___413195_Millbrae___main,101___413212_Millbrae___on,104___400593_Millbrae___main,105___405837_Millbrae___off,106___400010_Millbrae___main,110___405862_Millbrae___off,112___400039_Millbrae___main
Number (data points),1197,379,399,379,1211,244,244,406,244,406,203,4001,752,1589,379,376,798,378,1204,378,398,378,805,379,379,796,377,406,208,399,758,2009,379,812,377,1218,380,399,379,380,2002,379,379,1197,380,399,379,406,379,379,1197,384,763,98,769,671,399,357,1211,196,397,784,795
Mean (capped flow),4758.982456140351,601.8548812664908,5235.080200501253,836.2137203166227,5447.146160198184,96.7827868852459,266.5614754098361,5984.448275862069,492.27868852459017,5984.448275862069,244.77339901477833,5887.947013246689,550.3484042553191,5184.825676526117,662.5699208443272,1654.2739361702127,5515.817042606516,58.03968253968254,4784.214285714285,185.65079365079364,4588.98743718593,654.457671957672,5378.12049689441,413.38258575197887,490.4591029023747,4987.868090452262,241.70557029177718,5679.689655172414,728.1490384615385,4910.513784461153,468.8957783641161,5038.715778994525,1397.551451187335,5653.931034482759,205.6233421750663,6364.284072249589,120.18684210526315,6108.25313283208,645.3218997361478,377.79473684210524,6793.01048951049,481.6200527704485,513.6200527704485,6801.2807017543855,75.82894736842105,7549.5313283208025,93.18469656992085,4135.783251231527,652.664907651715,755.7915567282322,5680.383458646616,535.1380208333334,5723.627785058978,738.4591836734694,5286.61378413524,687.4292101341282,5495.423558897243,754.6218487394958,6506.790255986788,516.530612244898,4113.72040302267,752.2704081632653,3508.7270440251573
Std Dev (capped flow),860.1718575888108,86.87602270189637,490.59805821136496,264.84317901117447,1057.3823962497975,33.84217756583055,60.31176100775,315.71345590720347,146.21266581312878,315.71345590720347,65.38840289588272,822.3293846066217,330.83333031038774,806.7197332096843,170.75927675884017,1009.8134686407864,960.3611380094326,22.070138601482252,1499.9043830859919,43.11415586414809,470.97623657682044,173.17633169440472,881.1257926647772,110.5805920967102,101.93469009667663,640.956698132782,70.16823887030499,905.6331792785785,389.55871471527104,542.6236451133085,109.57489677515544,930.0565038765596,506.84267580029797,632.3151924735954,115.80772176612449,815.2439014248105,29.022211739256317,537.5466487505221,202.07270778154108,86.45181178999577,663.4084395244214,125.05748849637499,139.88726414197436,1061.5805997794416,15.78906030160618,728.4464489366469,27.200471012922126,598.3332533663918,101.938680456814,179.78210597253445,748.211052181748,221.13277076095312,770.8238807698428,154.34246101706103,797.1319838031436,502.91158583851796,838.3753763832046,287.9409853828538,1054.1648205128022,104.15772028776131,513.7910952748371,656.0276588104523,759.8522777392997
Consistent Flow,4077.1471608500797,612.5396188457191,3464.6075468234853,770.956487436798,4235.564036487306,98.03492782898499,257.07363436211415,4394.602754336838,449.31250700551277,4843.915260479178,232.2806919862353,5076.195946904687,620.4232041667378,4455.772735229941,775.7657530162196,948.8068989399695,4628.813873303177,57.07490815211697,4685.888761359458,175.65279380219042,4861.541547312207,535.9874367796592,5397.528987652317,460.4407539192806,424.2272885795798,5361.315521748111,226.53279865478436,5587.8483275045955,867.0759157497979,4720.772410478248,409.6886825976744,5130.461095531837,879.7365586900289,6010.197659873213,194.91262553451867,6205.110292562236,123.89549894354678,6081.214744682007,752.2745602780328,341.1422097901499,5670.082390615766,546.6998271716559,439.6146911871712,5562.997240191124,77.59449562255627,5485.402731266844,90.21267461794744,5575.615364937986,762.3961878112743,608.6675303872925,5421.886695879353,459.24512607549804,5881.131810998635,596.8750649403626,6478.006862176991,789.7338714849516,5688.272979423136,635.3046581826331,6323.577626913868,573.4629387781464,5750.114663851424,818.0140169259632,4932.100632202364
