Data Category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
Start Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,34,39,39,39,39,39,39,39,42,42,42,42,42,42,46,46,46,46,46,49,49,49,49,51,51,51,51,53,53,53,53,57,57,57
End Index,1,5,12,14,23,28,36,38,41,44,48,55,59,61,62,5,12,14,23,28,36,38,41,44,48,55,59,61,62,12,14,23,28,36,38,41,44,48,55,59,61,62,12,14,23,28,36,38,41,44,48,55,59,61,62,12,14,23,28,36,38,41,44,48,55,59,61,62,23,28,36,38,41,44,48,55,59,61,62,23,28,36,38,41,44,48,55,59,61,62,23,28,36,38,41,44,48,55,59,61,62,23,28,36,38,41,44,48,55,59,61,62,28,36,38,41,44,48,55,59,61,62,28,36,38,41,44,48,55,59,61,62,36,38,41,44,48,55,59,61,62,36,38,41,44,48,55,59,61,62,36,38,41,44,48,55,59,61,62,41,44,48,55,59,61,62,44,48,55,59,61,62,48,55,59,61,62,55,59,61,62,55,59,61,62,55,59,61,62,59,61,62
Start Station,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,001___402376_Palo_Alto___main,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,006___425897_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,011___403060_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,013___403061_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,015___408267_East_Palo_Alto___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,033___410095_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,036___410093_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,040___412787_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,042___412788_Redwood_City___on,046___410110_Belmont___on,046___410110_Belmont___on,046___410110_Belmont___on,046___410110_Belmont___on,046___410110_Belmont___on,046___410110_Belmont___on,046___410110_Belmont___on,046___410110_Belmont___on,046___410110_Belmont___on,046___410110_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,049___414212_Belmont___on,053___409676_San_Mateo___on,053___409676_San_Mateo___on,053___409676_San_Mateo___on,053___409676_San_Mateo___on,053___409676_San_Mateo___on,053___409676_San_Mateo___on,053___409676_San_Mateo___on,053___409676_San_Mateo___on,053___409676_San_Mateo___on,060___405852_San_Mateo___on,060___405852_San_Mateo___on,060___405852_San_Mateo___on,060___405852_San_Mateo___on,060___405852_San_Mateo___on,060___405852_San_Mateo___on,060___405852_San_Mateo___on,060___405852_San_Mateo___on,060___405852_San_Mateo___on,063___405828_San_Mateo___on,063___405828_San_Mateo___on,063___405828_San_Mateo___on,063___405828_San_Mateo___on,063___405828_San_Mateo___on,063___405828_San_Mateo___on,063___405828_San_Mateo___on,063___405828_San_Mateo___on,063___405828_San_Mateo___on,070___405849_San_Mateo___on,070___405849_San_Mateo___on,070___405849_San_Mateo___on,070___405849_San_Mateo___on,070___405849_San_Mateo___on,070___405849_San_Mateo___on,070___405849_San_Mateo___on,077___403288_San_Mateo___on,077___403288_San_Mateo___on,077___403288_San_Mateo___on,077___403288_San_Mateo___on,077___403288_San_Mateo___on,077___403288_San_Mateo___on,083___403087_San_Mateo___on,083___403087_San_Mateo___on,083___403087_San_Mateo___on,083___403087_San_Mateo___on,083___403087_San_Mateo___on,086___403295_Burlingame___on,086___403295_Burlingame___on,086___403295_Burlingame___on,086___403295_Burlingame___on,090___412782_Burlingame___on,090___412782_Burlingame___on,090___412782_Burlingame___on,090___412782_Burlingame___on,094___405863_Millbrae___on,094___405863_Millbrae___on,094___405863_Millbrae___on,094___405863_Millbrae___on,101___413212_Millbrae___on,101___413212_Millbrae___on,101___413212_Millbrae___on
End Station,004___425696_Palo_Alto___off,010___403059_East_Palo_Alto___off,027___403206_Redwood_City___off,032___410094_Redwood_City___off,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,010___403059_East_Palo_Alto___off,027___403206_Redwood_City___off,032___410094_Redwood_City___off,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,027___403206_Redwood_City___off,032___410094_Redwood_City___off,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,027___403206_Redwood_City___off,032___410094_Redwood_City___off,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,027___403206_Redwood_City___off,032___410094_Redwood_City___off,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,045___410111_Belmont___off,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,051___409888_San_Mateo___off,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,067___405847_San_Mateo___off,069___405845_San_Mateo___off,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,076___403287_San_Mateo___off,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,081___403086_San_Mateo___off,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,085___422114_Burlingame___off,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,099___413209_Millbrae___off,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main,105___405837_Millbrae___off,110___405862_Millbrae___off,112___400039_Millbrae___main
O-D Flow (Initialization),612.5396169,98.0284297,309.2110456,340.9217998,225.4461263,268.3933688,124.0136751,250.635719,245.7820196,77.55218436,260.4147974,264.0084246,251.7115899,264.7591375,483.7292263,0.006490166,187.4897819,219.200536,12.81341751,68.87928624,0,0.002489043,7.74E-05,0.004379506,10.74189586,16.22169189,26.00786122,22.11658655,207.476219,14.29370581,45.88285273,0,0.00111462,0,0.000263773,0,0.001277735,0,6.017123545,10.77104191,11.31151065,168.8039813,109.4277859,141.0169328,0,0.001171756,0,0.00032091,0,0.001486336,0,3.264585824,11.80561589,8.159608384,175.6440625,0.000890278,28.74363559,0,0.002203424,0,0.001352577,0,0.002826061,0,7.675449695,12.42936806,12.9698368,170.4623075,145.3009793,201.3565436,0,124.4407734,75.50701145,0.003201457,88.84960774,25.79216309,19.24237989,19.36980949,248.948762,0.005169024,0.007681158,0,0.006830133,0.004418504,0.00821024,0.004688282,0.005032937,0.005396483,0.005799984,57.02601787,0.001447419,12.25195884,0,0.00310871,0.000697056,0.004873121,0.000967103,0.001317689,0.001681722,0.00208488,163.4014021,76.87666351,132.6396184,0,55.65686563,6.723103641,0.003356329,20.06569994,7.582406254,11.62283478,9.590880272,215.2448831,130.6453891,0,53.51188424,4.578122249,0,17.92071855,0,2.547068615,2.085974582,212.945654,52.89757833,0,0,0,0,0,0,0,0,173.6789019,0,89.79826359,40.82688658,0.001760009,54.16948288,0,0,0,224.9068856,0,169.0094512,120.0756892,0.002707576,133.4182855,70.36084088,41.00911841,42.86374542,303.0116319,0,9.209414382,0,0.002552516,0,0,0,0,185.7425891,53.21315795,0.004291526,66.1765064,3.066154823,0.00127593,0.001678017,218.6791408,0.003291253,110.6297733,47.48616521,0.000669575,19.98906975,261.5057144,0.013773965,0.014125523,0.014490406,0.014909371,90.15534588,126.1078921,43.88934037,98.57682151,340.0934662,88.86265278,6.532354377,61.16673155,302.6833762,123.2839857,40.95368728,95.56036745,337.0770121,94.93031222,149.490271,390.884062
O-D Flow (Max Entropy),612.5396169,80.1904526,413.6495858,517.2177493,209.3011497,348.2467009,37.86051453,229.8646608,156.9962517,20.52905029,198.3714943,152.6789188,99.72718407,142.2577575,857.7160572,17.84446726,92.04654839,115.0941851,46.57526082,77.4914905,8.423889571,51.14923185,34.93550462,4.566207665,44.14323907,33.97482145,22.19200034,31.65589812,190.8637433,31.42046243,39.2880828,15.89823077,26.45197974,2.875050911,17.45973865,11.92512731,1.558157423,15.06820396,11.59720023,7.57510869,10.80563614,65.15065615,54.91642102,68.66669332,27.78688075,46.23226244,5.02558059,30.51608653,20.84264243,2.724047399,26.33616449,20.2695037,13.23986593,18.88601805,113.8703381,28.39019173,35.4990463,14.36494385,23.9008689,2.597651719,15.775858,10.7750419,1.407803185,13.61497387,10.47873838,6.844509524,9.763506318,58.86755805,80.93831702,134.666789,14.63950537,88.88796492,60.71162037,7.935526161,76.71286041,59.04220665,38.56617712,55.01284193,331.6930843,4.868485418,8.1003881,0.88003636,5.346710543,3.65172221,0.477269432,4.614312976,3.55129115,2.31938056,3.308855917,19.95643779,14.98443242,24.93163964,2.709758085,16.45620889,11.2397004,1.468561972,14.20212111,10.93062196,7.139725904,10.18455454,61.40546039,45.72305581,76.07437041,8.269844373,50.21377267,34.29664803,4.482698715,43.33630934,33.35353515,21.78622207,31.07702696,187.3739503,65.8275888,7.155922109,43.45029925,29.67696219,3.878867545,37.49879341,28.86088574,18.85166076,26.891004,162.1353088,35.15183487,3.82088485,23.2021402,15.8471628,2.070942282,20.02402142,15.41139793,10.06657408,14.3595043,86.57833995,8.179981053,49.66810915,33.92392929,4.433993222,42.86504919,32.99106779,21.5494761,30.73932006,185.3377572,17.56552983,106.6534925,72.84552443,9.521692036,92.04486517,70.84238144,46.2743968,66.0070944,397.9815893,3.891408996,23.63028183,16.13957554,2.109176032,20.39350775,15.69577145,10.25233311,14.62446777,88.17610832,32.89241822,4.299156372,41.56165796,31.98791795,20.8942209,29.80463689,179.7021972,6.131364061,59.27310001,45.62007885,29.79857708,42.50610845,256.285455,12.33551819,9.494008346,6.201257219,8.845980375,53.33588101,74.20246282,48.46926737,69.13785987,416.8579301,55.98621571,36.57007664,52.16505486,314.5237677,72.76486228,47.53017263,67.79837653,408.7816411,57.61476844,82.18252039,495.5073564
